intents
greeting
goodbye
thanks
noanswer
capabilities
features
jokes
Identity
datetime
whatsup
haha
programmer
insult
activity
exclaim
weather
Faizan
contact
appreciate
nicetty
no
news
inspire
greetreply
thankyou
suggest
riddle
age
